Timestamp,Eating_habit,Age
3/24/2023 15:09:16,Home cooked meal,23
3/24/2023 15:09:48,Take out,21
3/24/2023 19:37:47,Take out,18
3/24/2023 19:41:52,Home cooked meal,18
3/24/2023 19:42:12,Home cooked meal,18
3/24/2023 19:44:12,Home cooked meal,20
3/24/2023 21:16:03,Take out,19
3/25/2023 14:45:17,Home cooked meal,30
3/25/2023 21:59:08,Home cooked meal,37
3/25/2023 22:02:49,Take out,32
3/25/2023 22:03:29,Take out,32
3/25/2023 22:03:32,Home cooked meal,42
3/25/2023 22:03:32,Home cooked meal,30
3/25/2023 22:14:12,Take out,37
3/25/2023 23:22:46,Home cooked meal,34
3/26/2023 15:01:00,Home cooked meal,36
3/27/2023 17:52:45,Home cooked meal,48
3/27/2023 17:53:57,Home cooked meal,43
3/28/2023 9:58:41,Home cooked meal,69
3/28/2023 10:30:09,Home cooked meal,32
3/28/2023 10:35:42,Home cooked meal,50
3/28/2023 10:36:50,Home cooked meal,30
3/28/2023 10:42:29,Home cooked meal,33
3/29/2023 12:41:46,Take out,20
4/3/2023 11:42:26,Take out,20
4/3/2023 11:47:43,Take out,20
4/3/2023 11:47:50,Take out,18
4/3/2023 11:47:59,Take out,19
4/3/2023 11:48:07,Take out,18
4/3/2023 11:48:32,Home cooked meal,18
4/3/2023 11:48:56,Take out,19
4/3/2023 11:49:07,Take out,19
4/3/2023 11:49:19,Home cooked meal,22
4/3/2023 11:49:25,Home cooked meal,23
4/3/2023 11:49:29,Home cooked meal,69
4/3/2023 11:49:31,Home cooked meal,21
4/3/2023 11:49:31,Home cooked meal,18
4/3/2023 11:49:34,Take out,16
4/3/2023 11:49:50,Home cooked meal,19
4/3/2023 11:49:52,Take out,18
4/3/2023 11:50:10,Home cooked meal,20
4/3/2023 11:50:52,Home cooked meal,23
4/3/2023 11:51:47,Home cooked meal,21
4/3/2023 11:51:54,Home cooked meal,18
4/3/2023 11:52:04,Home cooked meal,19
4/3/2023 11:53:05,Home cooked meal,98
4/3/2023 11:53:18,Home cooked meal,19
4/3/2023 11:53:42,Take out,20
4/3/2023 11:55:44,Home cooked meal,33
4/3/2023 11:55:50,Home cooked meal,35
4/3/2023 11:55:57,Take out,25
4/3/2023 11:56:22,Take out,67
4/3/2023 11:56:36,Home cooked meal,40
4/3/2023 11:56:42,Take out,21
4/3/2023 11:56:52,Home cooked meal,51
4/3/2023 11:56:58,Home cooked meal,40
4/3/2023 11:57:03,Take out,20
4/3/2023 11:57:10,Take out,18
4/3/2023 11:57:28,Home cooked meal,13
4/3/2023 11:57:43,Home cooked meal,30
4/3/2023 11:57:51,Home cooked meal,29
4/3/2023 11:58:33,Home cooked meal,20
4/3/2023 11:59:17,Take out,18
4/3/2023 11:59:54,Home cooked meal,35
4/3/2023 12:00:03,Home cooked meal,32
4/3/2023 12:00:08,Home cooked meal,30
4/3/2023 12:00:15,Home cooked meal,42
4/3/2023 12:00:26,Home cooked meal,38
4/3/2023 12:00:31,Home cooked meal,29
4/3/2023 12:00:39,Take out,21
4/3/2023 12:00:45,Home cooked meal,60
4/3/2023 12:00:55,Home cooked meal,65
4/3/2023 12:01:13,Home cooked meal,52
4/3/2023 12:01:26,Home cooked meal,39
4/3/2023 12:01:34,Home cooked meal,46
4/3/2023 12:01:42,Home cooked meal,32
4/3/2023 12:01:57,Take out,19
4/3/2023 12:02:07,Take out,16
4/3/2023 12:02:13,Take out,20
4/3/2023 12:02:32,Take out,17
4/3/2023 12:02:38,Take out,18
4/3/2023 12:02:43,Take out,19
4/3/2023 12:02:49,Home cooked meal,17
4/3/2023 12:02:56,Take out,32
4/3/2023 12:03:04,Take out,33
4/3/2023 12:03:16,Take out,29
4/3/2023 12:03:22,Take out,25
4/3/2023 12:03:27,Take out,24
4/3/2023 12:03:32,Take out,50
4/3/2023 12:03:40,Take out,16
4/3/2023 12:03:49,Take out,38
4/3/2023 12:03:55,Take out,41
4/3/2023 12:04:02,Take out,30
4/3/2023 12:04:08,Take out,18
4/3/2023 12:04:08,Take out,32
4/3/2023 12:04:15,Take out,21
4/3/2023 12:04:23,Take out,27
4/3/2023 12:04:29,Take out,20
4/3/2023 12:04:39,Take out,29
4/3/2023 12:04:47,Take out,18
4/3/2023 12:04:56,Take out,30
4/3/2023 12:04:57,Home cooked meal,22
4/3/2023 12:05:08,Take out,23
4/3/2023 12:05:16,Take out,13
4/3/2023 12:05:25,Take out,18
4/3/2023 12:05:31,Take out,25
4/3/2023 12:05:35,Home cooked meal,17
4/3/2023 12:05:40,Home cooked meal,18
4/3/2023 12:05:54,Home cooked meal,30
4/3/2023 12:05:55,Home cooked meal,22
4/3/2023 12:06:03,Home cooked meal,31
4/3/2023 12:06:09,Home cooked meal,32
4/3/2023 12:06:17,Home cooked meal,33
4/3/2023 12:06:25,Home cooked meal,35
4/3/2023 12:06:32,Home cooked meal,41
4/3/2023 12:06:39,Home cooked meal,22
4/3/2023 12:06:50,Home cooked meal,62
4/3/2023 12:07:00,Home cooked meal,41
4/3/2023 12:07:04,Home cooked meal,21
4/3/2023 12:07:11,Take out,28
4/3/2023 12:07:33,Home cooked meal,32
4/3/2023 12:07:51,Take out,29
4/3/2023 12:09:07,Home cooked meal,24
4/3/2023 12:09:48,Home cooked meal,19
4/3/2023 12:12:03,Home cooked meal,20
4/3/2023 12:12:04,Home cooked meal,18
4/3/2023 12:12:11,Home cooked meal,19
4/3/2023 12:13:59,Home cooked meal,22
4/3/2023 12:14:12,Home cooked meal,22
4/3/2023 12:15:55,Take out,19
4/3/2023 12:16:02,Take out,20
4/3/2023 12:16:05,Home cooked meal,22
4/3/2023 12:16:15,Home cooked meal,21
4/3/2023 12:16:21,Take out,19
4/3/2023 12:16:25,Home cooked meal,19
4/3/2023 12:16:34,Take out,20
4/3/2023 12:17:15,Take out,23
4/3/2023 12:17:27,Home cooked meal,19
4/3/2023 12:17:32,Home cooked meal,18
4/3/2023 12:17:42,Home cooked meal,26
4/3/2023 12:19:28,Take out,21
4/3/2023 12:19:40,Take out,22
4/3/2023 12:19:46,Take out,43
4/3/2023 12:20:42,Home cooked meal,18
4/3/2023 12:20:49,Home cooked meal,17
4/3/2023 12:20:51,Take out,17
4/3/2023 12:21:01,Home cooked meal,17
4/3/2023 12:21:01,Home cooked meal,17
4/3/2023 12:21:02,Home cooked meal,17
4/3/2023 12:21:25,Home cooked meal,50
4/3/2023 12:26:02,Home cooked meal,